reading_id,node_id,timestamp,consumption_mwh,generation_mwh,net_flow_mwh,voltage_kv,frequency_hz,power_factor,temperature_c,is_peak_demand,outage_flag
RDG0000045,NODE0038,2023-12-01T06:00:00Z,22.151,11.432,9.752,212.63,49.877,0.983,37.8,False,False
RDG0000046,NODE0037,2023-09-19T10:00:00Z,411.747,1367.207,334.801,419.58,50.413,0.845,44.4,False,False
RDG0000047,NODE0032,2023-01-26T06:00:00Z,21.386,163.531,-34.854,101.21,49.6,0.978,-9.2,False,False
RDG0000048,NODE0027,2023-04-16T09:00:00Z,121.072,1264.508,-307.735,112.71,50.15,0.963,36.9,True,False
RDG0000049,NODE0025,2023-08-05T04:00:00Z,1083.736,1534.381,240.075,221.8,49.568,0.908,40.7,False,False
RDG0000050,NODE0048,2023-03-03T16:00:00Z,839.344,190.399,-386.388,118.2,49.666,0.825,-8.4,False,False
RDG0000051,NODE0004,2023-07-20T06:00:00Z,201.815,242.477,64.332,392.96,50.293,0.792,-5.7,False,False
RDG0000052,NODE0040,2023-06-14T09:00:00Z,505.53,592.371,269.673,113.03,49.755,0.752,34.3,True,False
RDG0000053,NODE0044,2023-04-18T20:00:00Z,115.402,1476.836,-1427.705,105.58,50.19,0.864,6.6,True,False
RDG0000054,NODE0031,2023-03-14T19:00:00Z,31.145,75.093,-44.328,72.5,49.522,0.958,11.8,True,True
RDG0000055,NODE0037,2023-02-03T11:00:00Z,1605.327,1313.664,137.115,35.66,50.107,0.838,25.0,False,False
RDG0000056,NODE0017,2023-04-04T08:00:00Z,959.586,1379.859,-27.635,105.8,49.533,0.841,-2.8,True,False
RDG0000057,NODE0021,2023-10-11T15:00:00Z,159.569,120.067,-330.483,240.75,50.002,0.818,-1.0,False,False
RDG0000058,NODE0019,2023-08-20T05:00:00Z,213.524,124.342,193.532,34.68,50.36,0.931,43.9,False,False
RDG0000059,NODE0024,2023-03-03T15:00:00Z,1278.454,22.505,410.87,396.38,50.249,0.816,11.0,False,False
RDG0000060,NODE0007,2023-06-09T14:00:00Z,929.092,1220.879,-929.517,212.43,49.721,0.766,35.3,False,False
RDG0000061,NODE0042,2023-10-06T17:00:00Z,27.139,10.548,18.483,12.09,49.597,0.972,-2.5,True,False
RDG0000062,NODE0024,2023-10-14T02:00:00Z,949.671,1174.838,-481.955,113.41,50.116,0.985,5.4,False,False
RDG0000063,NODE0014,2023-10-30T16:00:00Z,531.767,282.343,98.067,72.35,50.044,0.994,9.7,False,False
RDG0000064,NODE0018,2023-05-10T13:00:00Z,471.033,461.694,70.064,30.31,50.142,0.899,-8.8,False,False
RDG0000065,NODE0016,2023-03-27T23:00:00Z,1529.964,398.94,-83.285,222.39,49.716,0.967,8.1,False,False
RDG0000066,NODE0039,2023-01-02T22:00:00Z,493.688,1752.062,-1264.604,33.27,49.61,0.967,-2.8,False,False
RDG0000067,NODE0016,2023-08-10T00:00:00Z,30.68,515.901,-215.751,10.83,50.246,0.869,32.8,False,False
RDG0000068,NODE0038,2023-03-16T10:00:00Z,11.571,5.672,-4.176,418.18,50.021,0.865,43.0,False,True
RDG0000069,NODE0031,2023-10-02T04:00:00Z,55.97,14.175,-37.568,10.88,49.822,0.787,-3.1,False,False
RDG0000070,NODE0041,2023-08-10T23:00:00Z,256.653,402.523,57.951,110.12,49.599,0.925,36.9,False,False
RDG0000071,NODE0047,2023-05-27T18:00:00Z,303.543,626.815,11.473,117.2,49.916,0.774,13.5,True,False
RDG0000072,NODE0024,2023-04-15T04:00:00Z,1110.521,766.844,963.02,100.88,49.597,0.935,34.6,False,False
RDG0000073,NODE0004,2023-08-14T00:00:00Z,377.217,231.285,-114.624,119.7,50.368,0.93,43.3,False,False
RDG0000074,NODE0020,2023-08-29T01:00:00Z,156.748,767.715,-77.359,10.96,49.85,0.889,-3.7,False,False
RDG0000075,NODE0037,2023-06-04T09:00:00Z,1423.051,1489.924,-294.977,234.01,50.175,0.889,23.5,True,False
RDG0000076,NODE0002,2023-05-04T03:00:00Z,20.003,55.808,-47.454,32.02,50.37,0.892,12.0,False,False
RDG0000077,NODE0048,2023-01-21T22:00:00Z,177.469,1026.007,-550.129,32.69,49.87,0.93,32.7,False,False
RDG0000078,NODE0039,2023-02-27T23:00:00Z,1572.791,277.01,229.518,10.01,49.772,0.915,16.7,False,False
RDG0000079,NODE0027,2023-07-06T11:00:00Z,348.791,828.976,-209.699,368.87,50.178,0.872,26.7,False,True
RDG0000080,NODE0015,2023-09-27T19:00:00Z,1480.803,82.403,1173.31,35.94,50.264,0.822,-3.4,True,False
RDG0000081,NODE0048,2023-10-21T23:00:00Z,339.811,735.359,-1021.16,400.02,50.306,0.768,37.4,False,True
RDG0000082,NODE0028,2023-01-13T19:00:00Z,156.776,26.551,50.022,108.44,50.209,0.854,-3.7,True,True
RDG0000083,NODE0021,2023-04-28T07:00:00Z,728.001,561.567,-27.895,11.92,49.937,0.776,14.0,True,False
RDG0000084,NODE0034,2023-02-23T16:00:00Z,449.116,352.1,63.836,31.9,49.576,0.908,19.2,False,False
RDG0000085,NODE0050,2023-08-27T12:00:00Z,307.142,838.254,-257.492,10.22,49.646,0.799,23.1,False,False
RDG0000086,NODE0012,2023-12-04T07:00:00Z,833.584,1012.864,-207.546,227.97,50.143,0.997,7.8,True,False
RDG0000087,NODE0010,2023-10-28T05:00:00Z,31.808,205.981,-109.246,10.5,49.852,0.769,15.4,False,True
RDG0000088,NODE0004,2023-09-09T17:00:00Z,468.245,43.2,-18.328,235.63,50.094,0.846,21.9,True,True
RDG0000089,NODE0029,2023-05-09T12:00:00Z,4.598,6.801,2.441,10.04,50.311,0.959,44.0,False,False
RDG0000090,NODE0033,2023-04-28T19:00:00Z,73.736,1333.018,-1793.083,221.06,49.659,0.843,5.6,True,False
RDG0000091,NODE0050,2023-08-19T23:00:00Z,593.9,45.809,42.0,63.82,49.595,0.92,5.6,False,False
RDG0000092,NODE0010,2023-08-16T13:00:00Z,37.964,309.111,-389.056,384.82,50.198,0.848,22.7,False,False
RDG0000093,NODE0020,2023-09-15T03:00:00Z,973.605,496.985,780.253,416.23,50.497,0.978,-4.9,False,False
RDG0000094,NODE0033,2023-09-05T00:00:00Z,34.343,581.842,-1757.47,106.52,49.692,1.0,-1.5,False,False
RDG0000095,NODE0007,2023-12-13T13:00:00Z,1519.086,1645.687,-222.298,59.9,50.376,0.905,22.8,False,False
RDG0000096,NODE0011,2023-05-04T10:00:00Z,662.831,614.796,17.78,102.64,49.544,0.841,29.6,False,False
RDG0000097,NODE0040,2023-07-14T12:00:00Z,764.279,796.184,526.579,104.26,50.404,0.799,27.3,False,False
RDG0000098,NODE0029,2023-11-12T04:00:00Z,11.003,11.127,3.811,32.46,50.317,0.95,-2.4,False,False
RDG0000099,NODE0004,2023-11-25T01:00:00Z,492.128,312.206,434.37,11.76,49.785,0.941,5.0,False,False
RDG0000100,NODE0010,2023-10-26T15:00:00Z,42.72,424.113,-337.7,11.85,49.915,0.849,10.6,False,False
RDG0000101,NODE0006,2023-09-13T22:00:00Z,133.241,189.108,74.445,68.83,50.291,0.784,5.8,False,False
RDG0000102,NODE0045,2023-04-05T17:00:00Z,44.999,27.818,8.509,11.89,49.756,0.959,20.2,True,False
RDG0000103,NODE0034,2023-10-16T22:00:00Z,126.175,326.938,-215.571,100.05,50.139,0.906,-6.5,False,False
RDG0000104,NODE0039,2023-01-12T05:00:00Z,1125.196,1023.872,-154.172,10.54,50.115,0.81,12.9,False,False
RDG0000105,NODE0034,2023-09-04T04:00:00Z,76.802,596.972,-498.913,241.49,49.52,0.968,-7.6,False,False
RDG0000106,NODE0024,2023-06-23T03:00:00Z,1208.336,577.385,1099.099,379.29,50.128,0.943,30.4,False,False
RDG0000107,NODE0009,2023-01-31T06:00:00Z,377.982,363.227,-311.673,426.43,49.965,0.924,24.7,False,False
RDG0000108,NODE0005,2023-11-09T10:00:00Z,19.838,108.133,-404.513,71.09,50.433,0.879,44.4,False,False
RDG0000109,NODE0031,2023-06-22T22:00:00Z,4.808,84.938,-32.758,11.8,50.366,0.833,-3.2,False,False
RDG0000110,NODE0028,2023-10-01T01:00:00Z,253.468,305.071,121.622,120.42,50.192,0.842,33.9,False,False
RDG0000111,NODE0006,2023-10-17T19:00:00Z,46.835,357.496,-441.142,66.6,49.603,0.832,6.3,True,False
RDG0000112,NODE0039,2023-10-18T21:00:00Z,296.711,790.379,-499.403,68.99,50.115,0.859,25.2,False,True
RDG0000113,NODE0005,2023-10-05T07:00:00Z,194.88,429.708,-169.556,35.99,50.349,0.92,14.1,True,False
RDG0000114,NODE0005,2023-06-11T02:00:00Z,417.596,196.499,212.233,222.96,49.653,0.862,10.4,False,False
RDG0000115,NODE0049,2023-02-22T11:00:00Z,1007.405,929.361,308.736,33.99,50.461,0.756,0.2,False,False
RDG0000116,NODE0025,2023-03-22T09:00:00Z,452.612,450.041,-318.994,72.55,50.194,1.0,1.0,True,False
RDG0000117,NODE0005,2023-11-05T14:00:00Z,92.613,382.652,-442.319,70.1,50.168,0.927,20.2,False,False
RDG0000118,NODE0020,2023-04-18T12:00:00Z,1076.967,1403.042,112.127,232.92,49.724,0.996,33.6,False,False
RDG0000119,NODE0032,2023-01-18T22:00:00Z,61.136,96.944,-18.043,36.19,50.112,0.772,7.0,False,False
RDG0000120,NODE0034,2023-10-08T10:00:00Z,872.848,934.326,789.156,437.79,49.574,0.866,18.5,False,False
RDG0000121,NODE0050,2023-05-05T05:00:00Z,671.655,112.878,231.75,11.81,50.018,0.826,-1.1,False,False
RDG0000122,NODE0023,2023-12-21T05:00:00Z,432.786,409.094,311.593,225.94,49.774,0.906,23.8,False,False
RDG0000123,NODE0033,2023-04-26T02:00:00Z,1114.849,1093.822,792.341,225.48,49.838,0.981,-7.7,False,True
RDG0000124,NODE0006,2023-02-01T00:00:00Z,562.868,457.525,405.821,207.28,49.917,0.91,17.4,False,False
RDG0000125,NODE0019,2023-07-26T05:00:00Z,128.222,213.645,-53.643,10.55,50.189,0.79,12.9,False,False
RDG0000126,NODE0014,2023-08-21T05:00:00Z,725.444,373.786,-133.574,69.09,50.475,0.783,10.4,False,False
RDG0000127,NODE0007,2023-08-06T20:00:00Z,476.369,241.442,-409.605,10.21,49.79,0.846,23.8,True,False
RDG0000128,NODE0011,2023-08-12T12:00:00Z,744.48,574.956,593.125,205.01,49.967,0.97,17.4,False,False
RDG0000129,NODE0026,2023-12-12T01:00:00Z,177.634,93.523,-48.995,60.04,49.995,0.971,26.0,False,False
RDG0000130,NODE0019,2023-01-06T13:00:00Z,224.924,114.411,-9.368,115.01,49.866,0.85,21.4,False,False
RDG0000131,NODE0024,2023-07-17T00:00:00Z,118.893,815.331,-1117.072,210.31,50.18,0.78,43.6,False,False
RDG0000132,NODE0024,2023-08-20T11:00:00Z,901.958,591.149,668.692,112.25,50.0,0.761,-2.5,False,False
RDG0000133,NODE0031,2023-12-21T12:00:00Z,60.003,79.602,-7.683,212.43,49.819,0.848,23.9,False,False
RDG0000134,NODE0038,2023-08-18T15:00:00Z,12.987,13.049,0.447,111.38,50.316,0.842,27.1,False,False
RDG0000135,NODE0038,2023-07-30T00:00:00Z,20.397,18.568,2.783,99.59,49.766,0.914,43.5,False,False
RDG0000136,NODE0037,2023-06-05T08:00:00Z,1271.756,1028.693,971.16,225.68,50.275,0.845,35.2,True,False
RDG0000137,NODE0003,2023-03-17T00:00:00Z,85.605,197.894,-102.302,32.43,49.91,0.944,40.6,False,True
RDG0000138,NODE0046,2023-04-05T06:00:00Z,817.912,884.462,-756.028,109.52,49.814,0.793,40.2,False,False
RDG0000139,NODE0035,2023-08-30T20:00:00Z,182.755,234.614,-1.319,70.01,50.11,0.798,3.6,True,False
RDG0000140,NODE0020,2023-06-03T12:00:00Z,1424.468,1486.16,257.681,416.39,50.205,0.829,9.2,False,False
RDG0000141,NODE0019,2023-03-25T04:00:00Z,152.258,144.217,-85.566,64.61,50.455,0.951,6.0,False,False
RDG0000142,NODE0046,2023-02-23T22:00:00Z,546.181,697.583,141.794,32.86,50.328,0.818,20.9,False,False
RDG0000143,NODE0009,2023-03-16T13:00:00Z,660.56,629.61,400.427,227.47,49.726,0.808,-4.5,False,False
RDG0000144,NODE0046,2023-11-19T11:00:00Z,158.549,1215.421,150.378,33.33,49.907,0.984,38.3,False,False
RDG0000145,NODE0042,2023-05-17T03:00:00Z,175.825,66.813,109.437,10.03,50.152,0.808,30.6,False,True
RDG0000146,NODE0012,2023-10-13T06:00:00Z,1585.13,315.84,-67.178,120.94,50.288,0.797,31.2,False,False
RDG0000147,NODE0003,2023-01-07T07:00:00Z,133.889,270.469,-282.709,106.37,50.489,0.886,17.2,True,False
RDG0000148,NODE0033,2023-11-16T12:00:00Z,513.97,1523.644,-108.973,418.49,49.757,0.797,30.5,False,False
RDG0000149,NODE0037,2023-05-12T20:00:00Z,309.38,1509.301,-1272.017,234.39,49.828,0.85,-4.8,True,False
RDG0000150,NODE0031,2023-08-09T21:00:00Z,122.874,0.897,72.511,65.3,50.454,0.825,29.8,False,True
RDG0000151,NODE0017,2023-09-03T10:00:00Z,1058.135,94.889,877.558,105.75,50.186,0.981,38.8,False,False
RDG0000152,NODE0045,2023-03-22T03:00:00Z,37.876,55.78,16.081,31.16,49.978,0.864,44.4,False,False
RDG0000153,NODE0027,2023-11-18T10:00:00Z,1225.393,1297.628,-110.433,420.95,50.255,0.968,-5.5,False,False
RDG0000154,NODE0034,2023-09-04T23:00:00Z,88.631,640.219,18.548,222.1,49.702,0.884,-1.0,False,False
RDG0000155,NODE0029,2023-03-21T08:00:00Z,9.728,10.252,2.738,118.78,50.309,0.863,18.2,True,False
RDG0000156,NODE0037,2023-02-09T09:00:00Z,985.104,1186.022,441.832,59.69,50.316,0.936,21.8,True,True
RDG0000157,NODE0028,2023-08-24T04:00:00Z,238.831,184.537,218.284,118.67,49.532,0.852,32.3,False,False
RDG0000158,NODE0024,2023-09-19T02:00:00Z,725.24,1482.883,114.866,366.42,50.375,0.783,37.3,False,False
RDG0000159,NODE0012,2023-09-26T07:00:00Z,950.171,1307.743,550.063,9.91,50.478,0.866,29.6,True,False
RDG0000160,NODE0035,2023-09-16T22:00:00Z,222.637,66.927,129.035,382.05,50.265,0.758,26.3,False,False
RDG0000161,NODE0050,2023-01-11T16:00:00Z,210.535,58.866,-309.047,395.72,50.203,0.762,30.7,False,False
RDG0000162,NODE0029,2023-06-09T23:00:00Z,7.719,10.788,-3.379,61.25,49.734,0.979,21.7,False,False
RDG0000163,NODE0039,2023-08-07T21:00:00Z,421.808,1560.178,-1333.223,110.47,49.801,0.765,42.2,False,False
RDG0000164,NODE0041,2023-10-19T15:00:00Z,374.532,31.591,142.465,113.15,50.286,0.83,12.9,False,False
RDG0000165,NODE0020,2023-09-14T23:00:00Z,278.209,813.885,-86.376,378.03,49.644,0.866,-6.8,False,False
RDG0000166,NODE0027,2023-12-28T19:00:00Z,216.962,392.945,-112.037,113.23,50.347,0.773,29.9,True,False
RDG0000167,NODE0004,2023-07-03T06:00:00Z,212.346,340.598,190.081,201.2,50.224,0.89,16.4,False,False
RDG0000168,NODE0020,2023-01-11T11:00:00Z,320.465,287.506,-801.387,115.43,50.414,0.924,28.7,False,False
RDG0000169,NODE0016,2023-08-08T13:00:00Z,1507.677,740.044,470.208,64.14,49.86,0.971,15.6,False,False
RDG0000170,NODE0049,2023-08-07T14:00:00Z,1604.924,650.698,878.352,33.41,50.241,0.754,20.4,False,False
RDG0000171,NODE0038,2023-10-13T01:00:00Z,7.557,5.023,1.669,33.46,49.999,0.914,27.7,False,False
RDG0000172,NODE0049,2023-11-30T13:00:00Z,1696.512,1126.366,835.37,61.62,49.669,0.93,16.9,False,False
RDG0000173,NODE0042,2023-02-10T02:00:00Z,121.869,195.167,104.58,11.7,50.264,0.853,36.3,False,False
RDG0000174,NODE0005,2023-04-14T02:00:00Z,4.903,271.275,-195.282,409.43,50.434,0.978,26.3,False,True
RDG0000175,NODE0001,2023-12-30T07:00:00Z,274.332,5.893,11.053,63.03,49.517,0.953,27.1,True,False
RDG0000176,NODE0007,2023-03-07T18:00:00Z,1033.354,474.853,-187.986,62.73,49.767,0.849,10.5,True,False
RDG0000177,NODE0030,2023-06-16T00:00:00Z,1314.138,299.735,406.346,427.83,50.492,0.912,-8.3,False,False
RDG0000178,NODE0025,2023-09-15T11:00:00Z,955.621,97.023,939.282,102.77,50.345,0.911,8.2,False,False
RDG0000179,NODE0034,2023-01-30T01:00:00Z,260.739,1022.765,-524.869,66.88,49.547,0.769,40.9,False,False
RDG0000180,NODE0037,2023-01-23T11:00:00Z,316.184,1499.219,288.58,31.07,50.252,0.928,11.9,False,False
RDG0000181,NODE0020,2023-04-21T21:00:00Z,853.269,857.411,-431.937,227.79,49.832,0.939,-2.3,False,False
RDG0000182,NODE0033,2023-08-25T02:00:00Z,101.153,823.387,-1478.742,212.99,50.455,0.849,32.5,False,True
RDG0000183,NODE0041,2023-07-06T14:00:00Z,527.955,303.581,374.235,111.17,49.932,0.92,26.3,False,False
RDG0000184,NODE0050,2023-07-21T15:00:00Z,698.139,623.827,626.372,372.34,50.284,0.789,11.4,False,False
RDG0000185,NODE0007,2023-03-04T11:00:00Z,10.238,607.472,-699.015,31.48,49.587,0.858,20.6,False,False
RDG0000186,NODE0027,2023-03-12T12:00:00Z,42.492,572.633,-108.086,67.29,50.364,0.753,12.8,False,False
RDG0000187,NODE0047,2023-06-15T17:00:00Z,403.69,119.692,134.969,61.23,49.768,0.786,-0.8,True,False
RDG0000188,NODE0027,2023-07-24T15:00:00Z,783.486,124.459,376.236,379.73,49.996,0.904,15.2,False,False
RDG0000189,NODE0020,2023-01-05T14:00:00Z,1435.57,502.645,497.219,70.01,49.94,0.858,35.3,False,False
RDG0000190,NODE0009,2023-07-25T02:00:00Z,344.042,1016.336,128.548,105.91,50.469,0.823,28.2,False,False
RDG0000191,NODE0037,2023-06-15T11:00:00Z,574.505,494.141,-810.899,214.06,49.7,0.999,-0.1,False,False
RDG0000192,NODE0002,2023-11-12T03:00:00Z,69.026,15.346,10.635,11.73,50.319,0.949,12.5,False,False
RDG0000193,NODE0009,2023-07-26T17:00:00Z,259.665,706.679,-507.712,11.64,49.949,0.899,22.0,True,False
RDG0000194,NODE0033,2023-10-13T13:00:00Z,1024.119,1489.56,346.837,237.4,50.094,0.979,-4.0,False,False
RDG0000195,NODE0043,2023-08-31T08:00:00Z,15.503,57.102,-36.989,411.6,49.9,0.938,43.1,True,False
RDG0000196,NODE0007,2023-01-08T04:00:00Z,194.314,437.475,-1277.435,404.64,50.075,0.861,11.5,False,False
RDG0000197,NODE0045,2023-12-08T15:00:00Z,8.939,59.164,-19.689,10.55,49.616,0.985,-2.2,False,False
RDG0000198,NODE0022,2023-11-07T20:00:00Z,19.058,12.663,10.594,367.81,50.197,0.83,6.5,True,False
RDG0000199,NODE0002,2023-08-23T04:00:00Z,47.431,49.567,35.4,36.19,50.016,0.888,8.2,False,False
RDG0000200,NODE0030,2023-06-08T06:00:00Z,1058.702,835.755,811.348,113.46,49.529,0.904,0.9,False,False
RDG0000201,NODE0028,2023-09-23T10:00:00Z,1.517,73.245,-93.399,11.45,50.077,0.95,19.5,False,False
RDG0000202,NODE0021,2023-05-15T12:00:00Z,415.685,238.348,-368.02,402.22,49.813,0.847,11.6,False,False
RDG0000203,NODE0023,2023-08-29T06:00:00Z,408.892,298.557,15.368,68.72,50.419,0.898,27.0,False,False
RDG0000204,NODE0008,2023-06-12T20:00:00Z,218.957,131.243,-278.237,110.24,50.096,0.894,13.3,True,False
RDG0000205,NODE0041,2023-04-29T06:00:00Z,373.9,329.921,279.368,105.92,50.119,0.966,42.4,False,False
RDG0000206,NODE0009,2023-05-14T04:00:00Z,874.645,1034.092,332.361,399.6,49.992,0.928,14.4,False,False
RDG0000207,NODE0006,2023-01-22T01:00:00Z,472.276,130.862,452.875,62.37,49.668,0.864,30.8,False,False
RDG0000208,NODE0036,2023-12-15T17:00:00Z,141.072,142.313,-824.796,70.27,50.042,0.939,31.8,True,False
RDG0000209,NODE0035,2023-05-30T04:00:00Z,267.635,27.693,43.184,69.32,50.375,0.758,4.5,False,False
RDG0000210,NODE0029,2023-03-22T03:00:00Z,11.092,3.388,-0.501,67.16,50.361,0.903,13.5,False,False
RDG0000211,NODE0009,2023-05-22T01:00:00Z,872.836,864.157,261.203,221.42,50.039,0.831,28.7,False,False
RDG0000212,NODE0037,2023-07-02T12:00:00Z,1678.981,906.862,92.097,35.08,50.463,0.946,40.5,False,False
RDG0000213,NODE0042,2023-03-28T14:00:00Z,163.152,30.864,129.136,31.83,50.261,0.919,16.9,False,False
RDG0000214,NODE0041,2023-07-03T10:00:00Z,423.02,252.791,372.137,11.65,49.903,0.937,28.2,False,False
RDG0000215,NODE0030,2023-11-30T04:00:00Z,434.346,3.282,-593.009,418.62,50.472,0.909,28.4,False,False
RDG0000216,NODE0035,2023-09-29T12:00:00Z,58.901,116.175,1.616,62.94,49.838,0.894,21.1,False,False
RDG0000217,NODE0022,2023-02-03T01:00:00Z,1.116,15.216,-19.216,29.81,49.941,0.75,42.7,False,False
RDG0000218,NODE0045,2023-04-01T01:00:00Z,52.311,17.901,0.458,11.83,50.155,0.813,10.5,False,False
RDG0000219,NODE0004,2023-09-28T13:00:00Z,352.215,408.731,-72.981,10.84,50.204,0.75,16.2,False,False
RDG0000220,NODE0038,2023-06-04T09:00:00Z,13.298,11.394,13.092,10.66,50.488,0.856,-2.7,True,False
RDG0000221,NODE0015,2023-09-19T12:00:00Z,134.372,1212.32,-20.864,64.25,49.637,0.943,31.4,False,False
RDG0000222,NODE0042,2023-04-08T12:00:00Z,15.913,131.022,-126.047,61.57,50.222,0.907,-1.7,False,False
RDG0000223,NODE0040,2023-10-30T00:00:00Z,873.55,88.058,771.498,231.11,50.23,0.838,13.6,False,False
RDG0000224,NODE0016,2023-07-09T01:00:00Z,1253.207,482.462,84.805,68.92,50.279,0.923,36.6,False,False
RDG0000225,NODE0014,2023-12-20T10:00:00Z,725.763,225.584,257.307,33.96,49.995,0.778,17.5,False,False
RDG0000226,NODE0005,2023-12-27T15:00:00Z,476.712,6.473,283.019,105.96,50.361,0.892,10.1,False,False
